id,production_companies
157422,High Five Films
316885,Blenkov & Schønnemann Pictures
228973,Téléfilm Canada
323967,NO_DATA
320048,Start Motion Pictures
359305,BBC
329004,K5 International
329004,British Film Institute (BFI)
329004,Northern Ireland Screen
329004,The Fyzz Facility
329004,"Fyzz Facility Film One, The"
362180,Arcadia Motion Pictures
362180,Noodles Production
362180,Coproducción Francia-España; Inti Entertainment
343284,NO_DATA
243752,Wernham Entertainment
243752,Pangaea Pictures
291866,Midnight Road Entertainment
330127,Malka Media Group
323694,Charlie Productions
323694,Casualties Bureau
323694,Jeva Films
334028,Caliber Media Company
334028,Revek Entertainment
354924,Centron Pictures
368256,Caliber Media Company
324291,NO_DATA
347847,Scatena & Rosner Films
347847,Allegra Pictures
295490,Lucky Coffee Productions
253406,NO_DATA
291865,MPI Pictures
334531,Paul Schiff Productions
334531,Anthem Productions
324803,Hiding in the Attic
339355,Ascot Elite Home Entertainment
309304,Depth of Field
309304,1821 Pictures
339342,NO_DATA
306966,Filmax Group
306966,Castelao Pictures
306966,Somnium Films
226458,GO Productions
226458,Vicarious Entertainment
226458,Bloodline Productions
226458,Shallow Focus
339148,Unbound Feet Productions
340684,NO_DATA
340968,NO_DATA
347754,Universal Pictures
347754,Blumhouse Productions
347754,LBI Entertainment
347754,Ombra Films
326284,Odyssey Media
326284,Rodin Entertainment
326284,Ace Film Company
326284,Chunqiu Time Culture Co.
317144,Raw TV
277558,NGN Productions
277558,Prospect Park
277558,Final Girl Productions
338928,Participant Media
338928,Imagenation Abu Dhabi FZ
338928,Parkes+MacDonald Image Nation
291189,Unified Pictures
291189,Bron Studios
309425,Believe Entertainment
309425,Pure Flix Entertainment
309425,Toy Gun Films
309425,10 West Studios
287689,HBO Films
363869,NO_DATA
325189,Disney Channel
298582,Carmel Creek Productions
301228,T Squared Film
343934,Paramount Pictures
296025,Aloupis Productions
296025,Hacienda Film Co.
371442,Eastside Films
325173,Bleiberg Entertainment
325173,Compound B
325173,Underdogg Entertainment
325173,Entropy
282313,FilmBuff
282313,Floren Shieh Productions
300542,Washington Square Films
309924,NO_DATA
348634,NO_DATA
318044,NetFlix
318044,Radical Media
259958,NO_DATA
316715,Feelgood Fiction
316715,Baltic Film Services
316715,Vistaar Religare Film Fund
308027,Beachside Films
279144,NO_DATA
355020,Passion Pictures
355020,Campbell Grobman Films
355020,Afineevsky - Tolmor Production
355020,Pray for Ukraine Production
355020,Rock Paper Scissors
323665,Traction Media
323665,Off Hollywood Pictures
323665,Ravenous Films
358895,NO_DATA
347548,Bright Cold Day Films
347548,Patchwork Productions
347548,Bandoola Productions
353345,WT Canada Productions
323370,Campfire LLC
337958,Last Cab Productions
333674,Room 101
333674,Vicarious Entertainment
333674,Campbell Grobman Films
333674,Jeff Rice Films
333674,Black Fish Films
301728,Storm Vision Entertainment
301728,Eclectik Vision
301728,Storm Alley Entertainment
366018,NO_DATA
256030,WithanO Productions
256030,Universal Studios Sound Facilities
356149,NO_DATA
300666,Strings of Films
300666,2 Wolves Films
